ticker,company,cik,form,filing_date,report_date,accession,primary_doc_description,document_url,filing_index_url
AAPL,Apple Inc.,320193,4,2026-05-29,2026-05-27,0001140361-26-023363,FORM 4,https://www.sec.gov/Archives/edgar/data/320193/000114036126023363/xslF345X06/form4.xml,https://www.sec.gov/Archives/edgar/data/320193/000114036126023363/0001140361-26-023363-index.htm
NVDA,NVIDIA CORP,1045810,4,2026-05-29,2026-05-27,0001818224-26-000004,FORM 4,https://www.sec.gov/Archives/edgar/data/1045810/000181822426000004/xslF345X06/wk-form4_1780087807.xml,https://www.sec.gov/Archives/edgar/data/1045810/000181822426000004/0001818224-26-000004-index.htm
META,"Meta Platforms, Inc.",1326801,4,2026-05-29,2026-05-27,0000950103-26-008089,FORM 4,https://www.sec.gov/Archives/edgar/data/1326801/000095010326008089/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1326801/000095010326008089/0000950103-26-008089-index.htm
META,"Meta Platforms, Inc.",1326801,8-K,2026-05-29,2026-05-27,0001628280-26-039193,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000162828026039193/meta-20260527.htm,https://www.sec.gov/Archives/edgar/data/1326801/000162828026039193/0001628280-26-039193-index.htm
COIN,"Coinbase Global, Inc.",1679788,4,2026-05-29,2026-05-27,0001679788-26-000062,FORM 4,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000062/xslF345X06/wk-form4_1780092764.xml,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000062/0001679788-26-000062-index.htm
META,"Meta Platforms, Inc.",1326801,4,2026-05-28,2026-05-26,0000950103-26-007988,FORM 4,https://www.sec.gov/Archives/edgar/data/1326801/000095010326007988/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1326801/000095010326007988/0000950103-26-007988-index.htm
GOOGL,Alphabet Inc.,1652044,4,2026-05-27,2026-05-25,0001193125-26-242640,4,https://www.sec.gov/Archives/edgar/data/1652044/000119312526242640/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1652044/000119312526242640/0001193125-26-242640-index.htm
GOOGL,Alphabet Inc.,1652044,4,2026-05-27,2026-05-25,0001193125-26-242636,4,https://www.sec.gov/Archives/edgar/data/1652044/000119312526242636/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1652044/000119312526242636/0001193125-26-242636-index.htm
GOOGL,Alphabet Inc.,1652044,4,2026-05-27,2026-05-25,0001193125-26-242634,4,https://www.sec.gov/Archives/edgar/data/1652044/000119312526242634/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1652044/000119312526242634/0001193125-26-242634-index.htm
GOOGL,Alphabet Inc.,1652044,4,2026-05-27,2026-05-25,0001193125-26-242630,4,https://www.sec.gov/Archives/edgar/data/1652044/000119312526242630/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1652044/000119312526242630/0001193125-26-242630-index.htm
GOOGL,Alphabet Inc.,1652044,4,2026-05-27,2026-05-25,0001193125-26-242628,4,https://www.sec.gov/Archives/edgar/data/1652044/000119312526242628/xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1652044/000119312526242628/0001193125-26-242628-index.htm
JPM,JPMORGAN CHASE & CO,19617,8-K,2026-05-27,2026-05-27,0001193125-26-242018,8-K,https://www.sec.gov/Archives/edgar/data/19617/000119312526242018/d51433d8k.htm,https://www.sec.gov/Archives/edgar/data/19617/000119312526242018/0001193125-26-242018-index.htm
COIN,"Coinbase Global, Inc.",1679788,4,2026-05-27,2026-05-22,0001679788-26-000061,FORM 4,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000061/xslF345X06/wk-form4_1779912956.xml,https://www.sec.gov/Archives/edgar/data/1679788/000167978826000061/0001679788-26-000061-index.htm
AMZN,AMAZON COM INC,1018724,4,2026-05-26,2026-05-21,0001374545-26-000008,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000137454526000008/xslF345X06/wk-form4_1779835625.xml,https://www.sec.gov/Archives/edgar/data/1018724/000137454526000008/0001374545-26-000008-index.htm
AMZN,AMAZON COM INC,1018724,4,2026-05-26,2026-05-21,0002024813-26-000008,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000202481326000008/xslF345X06/wk-form4_1779835185.xml,https://www.sec.gov/Archives/edgar/data/1018724/000202481326000008/0002024813-26-000008-index.htm
AMZN,AMAZON COM INC,1018724,4,2026-05-26,2026-05-21,0001018724-26-000020,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000020/xslF345X06/wk-form4_1779834787.xml,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000020/0001018724-26-000020-index.htm
AMZN,AMAZON COM INC,1018724,4,2026-05-26,2026-05-21,0001557979-26-000006,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000155797926000006/xslF345X06/wk-form4_1779834363.xml,https://www.sec.gov/Archives/edgar/data/1018724/000155797926000006/0001557979-26-000006-index.htm
